編號,熱點名稱,地址
1,嘉義市中央廣場公園,600嘉義市東區中央里位於文化路、民權路、北榮街、興中街區塊
2,嘉義中山路郵局,600嘉義市東區中山路107號
3,嘉義市政府稅務局,600嘉義市東區中山路154號
4,嘉義市政府警察局,600嘉義市東區中山路195號
5,嘉義市政府中庭,600嘉義市東區中山路199號
6,財政部南區國稅局嘉義分局,600嘉義市東區中山路199號4樓
7,嘉義市政府6樓會議室,600嘉義市東區中山路199號6樓
8,嘉義市政府8樓會議室,600嘉義市東區中山路199號8樓
9,嘉義市中山路與興中街口號誌燈桿,600嘉義市東區中山路263號前號誌燈桿
10,嘉義市中山路中央噴水池圓環-3,600嘉義市東區中山路289號前公話亭
11,嘉義市政府警察局第二分局公園派出所,600嘉義市東區中山路2號
12,第一商業銀行嘉義分行,600嘉義市東區中山路307號
13,臺灣土地銀行嘉義分行,600嘉義市東區中山路309號
14,嘉義市中山路中央噴水池圓環-1,600嘉義市東區中山路309號(土地銀行)旁公話亭
15,財政部國有財產署南區分署嘉義辦事處,600嘉義市東區中山路94號
16,行政執行署嘉義分署1樓等候區,600嘉義市東區中山路96號
17,嘉義市中山路與安和街口,600嘉義市東區中山路96號(行政執行署嘉義分署)前號誌燈桿
18,嘉義市中山路與吳鳳路口公話亭,600嘉義市東區中山路與吳鳳路口公話亭
19,嘉義公園旅遊資訊站,600嘉義市東區中山路與啟明路交叉口
20,嘉義市中山路與民國路口公話亭,600嘉義市東區中山路與民國路口公話亭
21,嘉義東門郵局,600嘉義市東區中正路141號
22,嘉義市文化路商圈(中正路410號前路口立桿),600嘉義市東區中正路410號前(路口立桿)
23,臺鐵局嘉北站候車室,600嘉義市東區保健街110號
24,嘉義後湖郵局,600嘉義市東區保健街30-5號
25,交通部公路總局嘉義區監理所嘉義市監理站-考驗大樓,600嘉義市東區保健街89號
26,公路總局嘉義區監理所嘉義市監理站,600嘉義市東區保建街89號
27,嘉義市史蹟資料館,600嘉義市東區公園街42號
28,嘉義市射日塔,600嘉義市東區公園街46號
29,國軍退除役官兵輔導委員會嘉義榮民服務處一樓大廳,600嘉義市東區公園街67號
30,嘉義市長青綜合服務中心,600嘉義市東區公義路1號
31,嘉義市北門驛(舊車站),600嘉義市東區共和路482號
32,嘉義市南興公園,600嘉義市東區南興公園
33,嘉義市北興國民中學傳達室,600嘉義市東區博東路262號
34,嘉義市城隍廟,600嘉義市東區吳鳳北路168號
35,嘉義市東區區公所,600嘉義市東區吳鳳北路184號
36,外交部領事事務局雲嘉南辦事處(大廳),600嘉義市東區吳鳳北路184號2樓
37,行政院雲嘉南區聯合服務中心,600嘉義市東區吳鳳北路184號2樓
38,嘉義市東區戶政事務所,600嘉義市東區吳鳳北路184號4樓
39,嘉義市政府環境保護局,600嘉義市東區吳鳳北路184號5樓
40,臺中榮總嘉義分院附設門診部門診大樓1F大廳,600嘉義市東區吳鳳北路35巷4號
41,兆豐國際商銀嘉興分行,600嘉義市東區吳鳳北路379號
42,嘉義市政府警察局第二分局,600嘉義市東區吳鳳南路367號
43,嘉義市政府警察局第二分局新南派出所,600嘉義市東區吳鳳南路75號
44,中油公司煉製研究所招待所,600嘉義市東區吳鳳南路91號
45,嘉義市公園聯合里辦公室,600嘉義市東區啟明路264號2樓
46,嘉義公園(啟明路與民權路口公話亭),600嘉義市東區啟明路與民權路口公話亭)
47,嘉義市嘉北國民小學守衛室,600嘉義市東區嘉北街65號
48,嘉義公園(民權路與五福街口側門立桿),600嘉義市東區嘉義公園五福街側門立桿
49,嘉義市立嘉義國民中學守衛室,600嘉義市東區圓福街86號
50,台電公司嘉義區處服務中心營業廳,600嘉義市東區垂楊路223號
51,嘉義市蘇周連宗祠,600嘉義市東區垂楊路326號
52,行政院勞動部勞工保險局嘉義辦事處洽公櫃台,600嘉義市東區大業街2號
53,嘉義市立大業國民中學,600嘉義市東區大業街57號
54,嘉義縣公共汽車管理處,600嘉義市東區大雅路2段635號
55,嘉義市東區衛生所,600嘉義市東區大雅路二段625號
56,嘉義市二二八紀念館,600嘉義市東區大雅路二段695號
57,交通部公路總局第五區養護工程處,600嘉義市東區安和街209號
58,嘉義市宣信國民小學後棟1樓中廊,600嘉義市東區宣信街266號
59,嘉義市蘭潭國民小學,600嘉義市東區小雅路419號
60,嘉義市棒球場,600嘉義市東區山仔頂249號-1
61,嘉義市家庭教育中心1樓閱覽室,600嘉義市東區山子頂269-1號
62,嘉義市黃賓圖書館,600嘉義市東區延平街328號
63,嘉義市勞工育樂中心,600嘉義市東區彌陀路101號(2F)
64,嘉義彌陀郵局,600嘉義市東區彌陀路268號
